id,city,country,year,gross_rental_yield_centre,gross_rental_yield_out,price_to_rent_centre,price_to_rent_out,affordability_index,qol_index,ppi_index,health_care_index,traffic_commute_index,pollution_index,climate_index,crime_index,safety_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,local_ppi_index,y
300,Rome,Italy,2020,2.939,4.037,4.525,3.57,1.666,4.069,2.397,6.104,6.638,3.622,5.919,4.641,4.314,3.26,2.642,2.652,2.882,2.172,7.595
301,Florence,Italy,2020,3.033,3.159,4.385,4.559,1.731,4.413,2.699,6.364,6.792,3.963,5.306,3.348,5.611,3.349,2.226,2.834,2.978,2.067,8.05
302,Saint Petersburg,Russia,2020,4.087,4.037,3.259,3.566,0.898,3.829,1.847,6.096,7.404,3.414,3.83,3.521,5.437,1.932,1.404,1.53,1.572,1.674,10.279
303,Novi Sad,Serbia,2020,3.093,2.981,4.304,4.833,1.568,4.887,1.679,4.906,2.528,2.438,5.307,3.635,5.323,1.645,0.681,1.213,1.082,1.522,10.027
304,Minsk,Belarus,2020,4.353,3.842,3.057,3.75,0.702,4.914,1.54,6.36,4.774,2.263,4.066,2.172,6.789,1.677,0.901,1.337,1.649,1.395,16.03
305,Brighton,United Kingdom,2020,3.059,3.046,4.352,4.722,1.633,5.95,3.837,7.36,4.2,1.494,5.65,3.248,5.71,3.496,3.276,2.62,3.37,2.732,17.021
306,Vladivostok,Russia,2020,4.756,4.394,2.799,3.277,0.915,2.763,2.241,6.823,6.168,3.883,3.952,3.682,5.214,2.01,1.233,1.731,1.582,1.416,11.34
307,Stockholm,Sweden,2020,2.374,2.493,5.601,5.767,1.829,5.812,3.751,6.963,5.805,0.967,4.401,3.972,4.985,3.524,2.86,3.003,3.1,3.399,10.881
308,Innsbruck,Austria,2020,2.502,2.558,5.326,5.622,1.911,6.663,3.743,7.947,4.162,0.782,4.733,2.236,6.952,3.488,2.267,3.03,2.852,2.726,17.159
309,Vienna,Austria,2020,2.536,2.631,5.252,5.471,1.911,6.598,3.384,8.122,4.103,1.005,5.165,2.058,6.903,3.04,2.346,2.628,2.451,3.067,18.664
310,Sarajevo,Bosnia And Herzegovina,2020,2.956,3.038,4.498,4.734,1.552,3.972,1.729,5.456,4.432,3.816,4.938,4.376,4.58,1.789,0.7,1.383,1.062,1.566,5.367
311,Warsaw,Poland,2020,3.462,3.809,3.846,3.78,1.633,4.896,2.564,6.31,5.44,3.202,4.713,2.28,6.681,2.042,1.655,1.605,1.506,2.323,16.264
312,Banja Luka,Bosnia And Herzegovina,2020,3.102,2.68,4.29,5.363,1.584,3.942,2.062,5.674,4.423,3.65,4.538,3.056,5.903,1.7,0.583,1.33,1.006,1.492,7.852
313,Kazan,Russia,2020,4.224,3.882,3.15,3.706,1.045,3.62,1.857,6.994,7.591,2.331,0.974,4.115,4.626,1.689,0.815,1.411,1.397,1.451,8.811
314,Skopje,North Macedonia,2020,3.556,3.354,3.739,4.296,1.47,3.727,1.563,5.791,4.42,4.544,4.819,4.002,4.955,1.6,0.628,1.257,1.051,1.416,7.325
315,Ljubljana,Slovenia,2020,3.093,3.013,4.309,4.775,1.813,6.004,2.599,6.782,4.332,1.302,4.807,1.9,7.062,2.538,1.623,2.084,1.822,2.356,17.806
316,Gdynia,Poland,2020,3.273,4.037,4.07,3.564,1.666,4.95,2.446,6.108,5.205,1.983,5.022,2.614,5.617,1.958,1.227,1.519,1.341,1.987,15.6
317,Porto,Portugal,2020,4.901,5.58,2.715,2.581,1.944,5.521,1.856,7.743,4.482,2.048,6.102,3.298,5.66,2.305,1.875,1.841,1.609,1.682,22.9
318,Lviv,Ukraine,2020,5.501,7.025,2.418,2.049,0.637,4.266,1.312,6.047,5.228,2.923,4.397,3.799,5.158,1.51,0.916,1.231,0.948,1.189,17.847
319,Madrid,Spain,2020,3.299,3.988,4.032,3.61,2.042,5.456,2.997,8.173,5.454,2.903,5.399,2.705,6.255,2.698,2.477,2.117,2.331,2.716,19.204
320,Krakow (Cracow),Poland,2020,3.547,3.72,3.754,3.873,1.715,4.657,2.476,6.343,4.84,3.876,4.665,2.359,6.602,1.912,1.361,1.467,1.389,2.244,15.375
321,Cambridge,United Kingdom,2020,3.205,4.02,4.158,3.584,1.748,6.21,3.179,7.608,4.462,1.79,5.771,2.975,5.831,3.346,3.205,2.473,3.195,2.88,19.854
322,Cluj-Napoca,Romania,2020,3.813,3.533,3.489,4.073,1.552,5.449,2.189,6.663,4.489,2.362,4.696,1.761,7.201,1.688,1.052,1.395,1.253,1.984,18.843
323,Bratislava,Slovakia,2020,3.642,3.549,3.652,4.055,2.172,5.365,2.598,6.039,4.797,2.25,5.099,2.703,6.256,2.236,1.669,1.854,1.566,2.355,17.19
324,Barcelona,Spain,2020,3.847,3.907,3.458,3.685,2.025,5.047,2.756,7.989,4.717,3.501,6.047,3.959,4.999,2.72,2.401,2.079,2.203,2.497,16.669
325,Naples,Italy,2020,3.033,3.403,4.393,4.232,2.14,5.0,2.447,6.962,6.05,3.665,5.859,4.81,4.145,2.844,1.482,2.44,2.045,2.036,8.366
326,Zagreb,Croatia,2020,3.17,3.021,4.199,4.764,1.78,5.668,2.338,6.504,5.132,1.769,5.192,1.999,6.962,2.322,1.202,1.877,1.649,2.119,15.978
327,Ufa,Russia,2020,4.456,4.158,2.985,3.46,1.078,3.83,1.896,6.934,5.73,3.828,-1.245,5.131,6.547,1.684,0.759,1.387,1.504,1.339,8.976
328,Sumy,Ukraine,2020,4.207,4.199,3.164,3.431,0.588,3.64,1.215,5.759,6.446,2.721,4.425,4.827,4.808,1.498,0.856,1.129,0.861,1.338,8.963
329,Odessa (Odesa),Ukraine,2020,5.724,6.286,2.324,2.292,0.686,3.808,1.316,5.339,5.512,3.561,4.99,4.732,4.224,1.625,0.889,1.271,1.124,1.192,13.471
330,Vilnius,Lithuania,2020,3.299,3.338,4.037,4.316,2.14,5.901,2.562,7.159,4.298,1.297,4.206,2.474,6.487,2.059,1.235,1.562,1.757,2.322,18.555
331,Helsinki,Finland,2020,2.511,3.192,5.305,4.507,2.368,6.582,3.79,7.95,4.981,0.69,3.966,1.986,6.976,3.351,2.72,2.79,3.175,3.434,20.194
332,Amsterdam,Netherlands,2020,3.727,3.98,3.569,3.619,2.172,5.997,3.435,7.104,4.647,1.738,5.524,2.961,5.998,3.656,4.132,2.745,3.17,3.113,21.596
333,Gdansk,Poland,2020,3.547,3.915,3.751,3.678,1.862,5.42,2.549,5.957,4.576,2.193,4.77,2.502,6.458,1.917,1.308,1.433,1.381,2.31,17.975
334,Kiev (Kyiv),Ukraine,2020,6.461,7.253,2.061,1.983,0.686,3.823,1.634,5.687,6.651,3.593,4.418,4.22,4.737,1.675,1.399,1.305,1.186,1.481,17.267
335,Palma de Mallorca,Spain,2020,4.421,4.67,3.012,3.084,2.074,5.497,3.236,8.462,5.349,3.347,5.685,3.535,7.533,2.747,2.119,2.142,2.431,2.129,22.298
336,Novosibirsk,Russia,2020,5.115,5.068,2.602,2.841,1.127,3.079,1.522,5.594,6.349,3.797,1.019,4.192,4.765,1.718,0.909,1.458,1.248,1.379,9.39
337,Bilbao,Spain,2020,3.308,3.565,4.029,4.037,2.205,5.727,3.782,8.244,4.579,2.958,5.817,4.915,4.04,2.764,0.869,2.61,2.258,2.558,13.78
338,Brno,Czech Republic,2020,3.719,3.655,3.582,3.938,2.156,5.752,2.666,7.678,3.986,2.36,4.938,2.355,6.605,2.131,1.495,1.79,1.37,2.416,20.672
339,Oslo,Norway,2020,2.759,2.989,4.823,4.819,2.14,5.748,3.519,7.717,5.024,1.422,3.789,3.278,5.681,4.708,3.356,4.155,4.337,3.189,13.185
340,Nice,France,2020,2.862,2.826,4.644,5.09,2.417,5.203,3.375,7.773,6.049,3.665,5.567,4.609,4.778,4.096,2.768,3.578,2.893,3.488,9.909
341,Athens,Greece,2020,3.736,3.46,3.566,4.161,1.813,4.398,1.852,5.736,5.857,3.159,6.012,4.35,4.606,2.65,1.131,2.033,2.233,1.678,8.469
342,Nizhny Novgorod,Russia,2020,5.304,4.605,2.509,3.128,1.176,5.143,1.508,8.041,4.466,1.855,2.875,2.645,6.315,1.811,0.936,1.433,1.5,1.367,20.185
343,Craiova,Romania,2020,3.308,3.046,4.026,4.725,1.617,4.631,2.372,7.17,3.986,2.249,4.795,1.981,6.998,1.517,0.588,1.294,0.99,1.794,16.289
344,Thessaloniki,Greece,2020,3.436,3.582,3.869,4.021,1.862,4.481,1.647,5.799,4.19,3.517,5.583,3.436,5.522,2.606,0.895,1.902,2.162,1.493,9.933
345,Constanta,Romania,2020,3.462,3.184,3.848,4.521,1.699,5.144,2.103,6.247,3.469,3.33,4.66,2.673,6.049,1.809,0.598,1.398,1.695,1.509,12.863
346,Luxembourg,Luxembourg,2020,3.016,3.265,4.41,4.404,2.401,6.593,4.326,7.602,5.202,1.153,5.219,2.605,6.355,3.877,4.253,3.233,3.578,3.92,21.885
347,Kharkiv,Ukraine,2020,6.658,7.269,1.999,1.98,0.751,3.878,1.28,4.744,5.897,3.016,4.128,4.264,4.693,1.544,0.895,1.138,0.981,1.16,16.581
348,Samara,Russia,2020,5.501,5.393,2.418,2.671,1.209,4.536,1.559,5.945,6.876,3.583,2.465,3.399,5.073,1.761,0.87,1.391,1.531,1.259,13.847
349,Liverpool,United Kingdom,2020,2.271,3.265,5.856,4.411,2.172,6.203,3.367,8.382,6.455,2.163,5.779,3.976,4.981,2.965,1.852,2.153,2.78,3.415,13.733
350,Yekaterinburg,Russia,2020,4.241,4.207,3.138,3.424,1.241,3.128,1.847,5.221,5.877,4.141,1.347,4.214,4.742,1.781,0.85,1.341,1.418,1.674,6.809
351,Kosice,Slovakia,2020,4.387,4.101,3.032,3.507,2.515,5.312,2.903,6.079,4.97,2.107,5.026,2.703,6.23,2.061,1.144,1.65,1.293,1.924,19.742
352,Dusseldorf,Germany,2020,2.374,2.502,5.617,5.755,2.483,6.419,4.052,7.701,4.61,1.713,5.456,2.764,6.195,3.102,2.094,2.322,2.455,3.672,16.575
353,Bucharest,Romania,2020,4.062,4.207,3.274,3.422,1.699,4.24,2.147,5.603,6.503,4.082,4.776,2.451,6.509,1.817,1.002,1.478,1.455,1.946,14.039
354,Berlin,Germany,2020,2.802,3.086,4.744,4.668,2.515,5.825,4.015,7.144,5.244,2.23,5.265,3.669,5.289,2.999,2.5,2.329,2.131,3.638,16.284
355,Rijeka,Croatia,2020,3.445,2.786,3.863,5.174,1.96,5.737,2.286,7.076,5.213,1.714,5.413,1.837,7.125,2.253,0.826,1.883,1.497,1.867,16.677
356,Poznan,Poland,2020,3.967,4.256,3.352,3.38,2.074,5.181,2.423,6.28,4.797,2.995,4.89,2.165,6.796,1.866,1.192,1.387,1.375,2.196,19.273
357,Wroclaw,Poland,2020,4.336,4.483,3.069,3.212,2.14,4.974,2.462,6.323,5.151,3.32,4.951,2.428,6.533,1.908,1.358,1.488,1.421,2.231,19.349
358,Vinnytsia,Ukraine,2020,5.33,6.221,2.496,2.313,0.735,3.726,1.244,4.586,6.163,4.338,4.018,4.976,4.416,1.511,0.564,1.241,0.981,1.041,10.045
359,Debrecen,Hungary,2020,4.336,3.98,3.071,3.621,2.091,4.543,2.202,5.069,6.145,2.953,5.296,3.149,5.679,1.816,0.844,1.379,1.395,1.688,14.011
360,Leipzig,Germany,2020,2.691,2.948,4.952,4.878,2.532,6.6,4.047,7.533,4.423,1.936,4.778,3.686,5.088,2.908,1.531,2.23,2.09,2.71,15.337
361,Irkutsk,Russia,2020,5.39,5.141,2.47,2.8,1.258,3.369,2.236,6.074,5.22,3.448,5.781,4.357,4.999,1.696,0.798,1.432,1.305,1.354,14.76
362,Gothenburg,Sweden,2020,3.085,3.257,4.32,4.42,2.368,6.213,3.616,7.09,3.74,1.042,4.895,4.044,4.913,3.297,2.453,2.87,3.165,3.277,16.709
363,Geneva,Switzerland,2020,2.913,2.932,4.562,4.911,2.581,6.399,4.523,7.0,4.013,1.681,5.218,2.552,6.408,5.51,5.214,5.249,4.629,4.099,18.517
364,Bologna,Italy,2020,3.822,4.012,3.479,3.585,2.581,5.054,2.459,7.942,5.026,3.038,5.566,3.961,4.996,3.243,1.936,2.802,2.815,2.229,15.186
365,Cologne,Germany,2020,2.793,2.688,4.764,5.356,2.581,5.831,3.981,7.584,5.707,2.261,5.36,3.703,5.255,3.016,2.179,2.237,2.303,3.608,14.956
366,Kaunas,Lithuania,2020,3.316,3.362,4.014,4.282,2.466,5.735,2.32,7.529,3.772,1.531,4.355,3.365,5.593,2.066,0.911,1.662,1.568,2.102,16.752
367,Volgograd,Russia,2020,5.784,5.531,2.3,2.602,1.307,3.638,1.382,6.413,6.866,4.046,1.981,3.676,4.754,1.788,0.712,1.295,2.06,1.133,12.122
368,Szeged,Hungary,2020,4.284,4.142,3.108,3.476,1.993,4.44,2.023,5.201,5.588,2.849,5.399,3.184,5.686,1.797,0.735,1.524,1.129,1.547,14.216
369,Mykolaiv,Ukraine,2020,6.049,4.897,2.199,2.939,0.8,4.025,1.222,4.874,6.318,3.55,3.829,3.648,4.585,1.52,0.481,1.162,1.232,0.975,11.611
370,Oradea,Romania,2020,3.89,3.354,3.423,4.293,2.009,4.914,2.263,7.216,5.585,3.039,3.929,2.133,7.783,1.639,0.574,1.463,1.003,1.584,16.999
371,Szczecin,Poland,2020,4.361,4.134,3.054,3.479,2.189,5.145,2.317,6.169,4.52,3.828,5.029,4.187,5.49,1.775,0.995,1.35,1.209,1.996,15.448
372,Iasi,Romania,2020,3.933,3.939,3.386,3.653,1.993,4.699,1.967,5.937,5.222,3.346,4.614,2.443,6.517,1.671,0.728,1.354,1.189,1.783,15.422
373,Olomouc,Czech Republic,2020,3.068,3.306,4.34,4.355,2.466,5.547,2.879,7.702,4.162,1.978,4.746,2.278,6.408,2.057,1.019,1.809,1.151,2.471,18.67
374,Frankfurt,Germany,2020,2.922,3.103,4.561,4.642,2.679,6.222,4.252,7.6,3.881,2.103,5.351,3.598,5.36,3.232,2.756,2.252,2.506,3.853,18.967
375,Dnipro,Ukraine,2020,6.195,5.864,2.148,2.456,0.784,3.5,1.446,5.252,4.902,4.491,4.391,4.599,4.357,1.514,0.748,1.161,1.035,1.31,12.895
376,Stuttgart,Germany,2020,2.828,2.891,4.702,4.973,2.662,6.105,4.226,7.279,5.492,2.306,5.121,2.367,6.594,3.136,2.474,2.353,2.665,3.829,18.71
377,Burgas,Bulgaria,2020,3.53,4.118,3.77,3.495,2.287,4.325,2.049,6.814,4.873,3.482,5.096,3.545,5.222,1.642,0.512,1.383,1.123,1.472,13.253
378,Brasov,Romania,2020,4.216,3.915,3.156,3.674,2.107,4.242,2.132,7.271,5.305,3.352,4.535,1.999,6.962,1.683,0.766,1.378,1.269,1.859,17.897
379,Sibiu,Romania,2020,3.916,3.874,3.4,3.718,2.042,5.01,2.243,6.322,4.361,3.16,5.102,2.763,6.233,1.647,0.71,1.437,1.181,1.843,16.566
380,Timisoara,Romania,2020,3.95,3.63,3.368,3.965,2.058,5.344,2.269,7.123,3.822,3.275,5.183,2.143,6.818,1.646,0.8,1.374,1.174,2.057,19.058
381,Hamburg,Germany,2020,2.742,3.241,4.856,4.44,2.777,6.228,4.18,7.795,5.019,1.606,5.227,3.934,5.023,3.299,2.569,2.486,2.607,3.788,17.766
382,Patras,Greece,2020,3.016,2.964,4.41,4.854,2.221,4.681,2.17,6.156,6.313,3.265,5.826,3.885,4.713,2.515,0.663,1.788,1.76,1.592,7.23
383,Lyon,France,2020,2.656,3.2,5.008,4.498,2.891,5.622,3.388,7.939,5.239,2.546,5.591,3.806,5.152,3.404,1.879,3.117,2.712,3.07,13.797
384,Izhevsk,Russia,2020,4.696,3.939,2.833,3.653,1.372,3.372,1.761,6.855,6.103,3.124,3.055,3.313,6.238,1.606,0.538,1.362,1.211,1.372,12.804
385,Tomsk,Russia,2020,4.456,4.158,2.987,3.465,1.405,4.614,2.35,7.153,4.664,3.788,1.18,3.522,6.011,1.644,0.636,1.4,1.196,1.564,13.901
386,Turin,Italy,2020,3.085,3.752,4.317,3.839,2.76,4.643,2.74,7.146,4.553,3.796,5.411,4.65,4.305,3.089,1.526,2.526,2.736,2.483,10.547
387,Malaga,Spain,2020,4.593,4.54,2.898,3.173,2.793,5.782,3.076,7.89,4.666,3.435,5.811,2.19,6.771,2.324,1.706,1.859,1.901,2.502,24.325
388,Rostov-na-donu,Russia,2020,5.261,5.498,2.53,2.618,1.388,3.036,1.981,6.063,7.437,4.206,3.717,4.791,6.486,1.746,0.752,1.383,1.52,1.393,12.656
389,Kaliningrad,Russia,2020,4.756,4.759,2.799,3.024,1.503,4.093,1.966,6.376,5.899,1.451,1.478,3.142,5.334,1.723,0.626,1.442,1.245,1.402,15.122
390,Dublin,Ireland,2020,5.732,5.766,2.322,2.495,2.499,5.031,3.116,5.27,6.222,2.2,5.425,4.401,4.555,3.667,4.703,2.812,3.195,2.824,21.009
391,Nantes,France,2020,2.785,2.867,4.778,5.016,2.891,4.443,3.57,8.082,6.726,3.055,4.919,4.232,4.423,3.655,2.852,2.949,2.568,3.68,11.195
392,Krasnodar,Russia,2020,5.835,5.539,2.28,2.598,1.421,4.131,1.461,6.889,5.356,3.494,1.648,4.195,6.504,1.659,0.802,1.346,1.347,1.444,16.6
393,Krasnoyarsk,Russia,2020,5.09,4.564,2.616,3.155,1.405,4.76,1.639,6.199,8.608,3.649,0.289,2.726,5.927,1.768,0.72,1.588,1.414,1.47,12.2
394,Perm,Russia,2020,5.158,4.759,2.578,3.022,1.486,2.451,1.979,7.2,6.59,4.057,2.188,2.854,5.763,1.684,0.701,1.402,1.302,1.474,13.223
395,Tallinn,Estonia,2020,3.633,3.46,3.667,4.165,2.777,6.22,2.893,7.355,4.106,1.263,4.06,1.991,6.97,2.433,1.336,1.74,2.17,2.622,21.769
396,Copenhagen,Denmark,2020,3.736,3.825,3.559,3.763,3.005,6.712,3.691,8.076,4.428,1.133,5.289,2.104,6.857,3.994,3.388,2.919,4.049,3.345,25.029
397,Voronezh,Russia,2020,4.996,4.621,2.664,3.116,1.421,4.502,1.707,5.589,6.124,3.849,0.494,3.487,6.297,1.677,0.626,1.44,1.239,1.392,12.204
398,Riga,Latvia,2020,3.916,4.256,3.4,3.382,2.777,5.19,2.183,6.307,5.234,2.08,4.718,3.424,5.535,2.283,1.04,1.63,1.82,1.978,16.63
399,Saratov,Russia,2020,5.51,5.433,2.417,2.65,1.519,3.348,2.385,6.38,5.911,4.607,3.445,3.567,3.88,1.653,0.558,1.309,1.26,1.153,12.754
400,Lugano,Switzerland,2020,2.425,2.526,5.486,5.695,3.022,7.35,4.885,7.467,4.435,0.636,5.403,2.124,6.703,6.209,3.806,5.631,5.298,4.583,17.636
401,Sofia,Bulgaria,2020,4.43,4.686,3.004,3.071,2.548,4.448,2.271,5.796,4.848,3.746,4.801,3.773,5.184,1.851,1.011,1.505,1.332,2.058,15.545
402,Nuremberg,Germany,2020,2.93,2.607,4.539,5.526,3.071,6.279,4.667,7.114,4.826,2.475,4.461,2.94,6.02,3.09,1.891,2.403,2.457,3.679,17.075
403,Linz,Austria,2020,3.213,3.249,4.14,4.434,2.94,6.521,3.269,7.978,3.978,0.49,5.087,2.105,6.988,3.507,1.991,3.045,3.089,2.996,21.957
404,Utrecht,Netherlands,2020,4.79,3.76,2.779,3.825,2.875,5.559,4.324,7.721,5.049,2.103,4.87,2.552,6.408,3.553,2.895,2.688,3.26,3.007,23.463
405,Haarlem,Netherlands,2020,4.096,4.759,3.25,3.022,2.875,6.3,4.449,7.251,4.69,2.432,4.945,2.374,5.869,3.48,3.171,2.586,3.117,3.299,24.787
406,Edinburgh,United Kingdom,2020,3.642,4.037,3.656,3.568,2.826,6.584,3.66,8.318,4.199,1.426,5.306,2.731,6.229,3.239,2.539,2.469,3.347,3.317,24.178
407,Graz,Austria,2020,2.948,2.713,4.514,5.306,3.038,6.876,3.81,8.338,4.115,0.843,5.221,2.101,7.307,3.444,1.611,3.155,2.422,3.002,21.2
408,Bristol,United Kingdom,2020,3.924,4.012,3.388,3.589,2.711,5.976,3.704,7.582,4.411,2.401,5.591,3.301,5.658,3.389,2.804,2.643,3.252,3.357,21.303
409,Lodz,Poland,2020,4.807,4.516,2.766,3.185,2.613,4.668,2.601,6.833,4.802,3.801,4.733,3.746,5.212,1.819,0.962,1.377,1.218,2.054,17.617
410,Manchester,United Kingdom,2020,3.993,3.533,3.333,4.073,2.679,5.267,3.589,8.058,6.293,2.917,5.492,4.765,4.191,3.161,2.35,2.457,2.966,3.252,15.551
411,Gent,Belgium,2020,3.616,3.354,3.68,4.294,3.12,5.089,3.562,7.968,5.907,3.086,5.648,2.232,6.729,3.366,1.853,2.718,3.076,2.902,18.508
412,Tyumen,Russia,2020,5.398,4.865,2.465,2.956,1.601,4.163,2.458,7.571,7.993,3.571,-0.563,3.774,4.746,1.952,0.209,1.349,1.423,0.967,11.596
413,Trondheim,Norway,2020,3.299,3.444,4.039,4.176,2.711,6.162,4.102,7.725,5.078,1.286,4.464,1.843,7.119,4.703,2.864,4.442,3.977,3.293,20.155
414,Tartu,Estonia,2020,3.29,3.565,4.049,4.034,3.054,5.841,3.224,7.145,4.567,1.228,4.451,1.84,7.122,2.315,1.001,1.762,1.835,2.524,21.444
415,Alicante,Spain,2020,3.248,4.004,4.099,3.596,3.234,5.614,2.789,8.057,4.891,3.5,5.715,3.841,5.21,2.424,1.269,1.899,2.209,2.863,17.186
416,Varna,Bulgaria,2020,4.404,4.418,3.023,3.259,2.646,5.018,1.919,6.497,4.238,3.345,5.374,2.775,6.185,1.703,0.648,1.418,1.198,1.739,18.629
417,Zurich,Switzerland,2020,2.802,3.029,4.748,4.752,3.397,7.122,5.164,7.58,5.31,0.943,5.147,1.506,7.457,5.942,4.695,5.95,4.828,4.68,22.564
418,Genoa,Italy,2020,3.256,5.49,4.091,2.621,3.299,4.064,2.777,6.742,6.203,4.066,5.663,6.016,3.932,3.312,1.44,2.934,2.787,2.314,10.077
419,Arad,Romania,2020,4.301,3.509,3.093,4.105,2.548,5.408,2.523,6.694,4.732,3.101,4.748,2.257,6.252,1.606,0.501,1.451,0.922,1.747,18.143
420,Stavanger,Norway,2020,3.479,3.5,3.826,4.11,3.071,6.112,3.208,7.689,4.459,1.214,3.725,2.094,6.867,4.737,2.749,4.231,4.353,3.23,19.265
421,Plovdiv,Bulgaria,2020,4.627,4.378,2.875,3.289,2.793,4.464,2.112,5.662,4.53,3.49,5.307,2.379,6.517,1.69,0.632,1.378,1.145,1.768,18.357
422,Toulouse,France,2020,2.862,2.948,4.657,4.885,3.544,5.345,3.665,7.905,5.59,3.907,5.383,4.037,4.92,3.334,1.674,3.05,2.742,3.517,12.561
423,Katowice,Poland,2020,4.627,4.483,2.878,3.21,2.94,5.005,2.408,6.558,5.533,2.994,4.984,3.234,5.725,1.718,0.902,1.251,1.237,2.354,19.45
424,Bergen,Norway,2020,3.393,3.192,3.927,4.511,3.234,5.454,3.885,7.957,4.792,1.285,2.956,2.536,6.424,4.639,2.684,4.111,4.318,3.469,17.662
425,Uppsala,Sweden,2020,3.128,3.833,4.25,3.754,3.103,5.412,4.644,6.745,5.806,0.871,4.691,4.786,5.696,3.5,1.917,3.123,3.077,3.26,16.919
426,Osijek,Croatia,2020,3.976,3.679,3.346,3.912,2.907,5.633,2.009,6.734,2.879,1.937,5.5,2.474,7.062,2.096,0.671,1.715,1.313,1.858,20.561
427,Birmingham,United Kingdom,2020,3.77,5.287,3.529,2.724,3.136,5.432,3.524,7.564,5.092,2.601,5.537,5.1,3.854,3.122,2.246,2.424,2.936,3.193,18.473
428,Seville (Sevilla),Spain,2020,4.413,5.133,3.02,2.802,3.299,5.472,3.066,8.306,4.772,2.8,5.389,2.601,6.359,2.359,1.54,1.929,1.803,2.745,25.194
429,Chelyabinsk,Russia,2020,5.698,5.06,2.338,2.846,1.715,2.972,1.596,6.937,8.6,4.039,3.321,2.9,4.737,1.657,0.599,1.395,1.093,1.48,13.13
430,Zaporizhzhya,Ukraine,2020,6.572,3.517,2.024,4.096,1.045,3.5,1.371,5.582,6.319,3.257,4.668,3.993,4.457,1.418,0.344,1.186,0.766,1.137,10.936
431,Palermo,Italy,2020,3.916,3.728,3.4,3.858,3.61,4.709,2.351,7.867,6.101,3.511,5.673,4.555,4.401,2.575,1.176,1.961,2.05,2.618,14.257
432,Valencia,Spain,2020,4.541,5.588,2.93,2.575,3.479,6.327,3.118,8.516,4.21,2.385,5.927,2.249,6.712,2.406,1.64,1.906,1.854,2.825,29.18
433,Tampere,Finland,2020,2.948,3.362,4.52,4.284,3.757,6.363,3.492,8.036,5.12,0.745,4.015,1.868,7.094,3.275,1.825,2.643,2.968,3.826,22.653
434,Arhus,Denmark,2020,3.376,3.46,3.941,4.156,3.626,6.602,3.882,7.631,4.372,1.306,5.164,2.344,7.103,3.755,2.373,2.903,3.435,3.717,23.495
435,Brescia,Italy,2020,3.77,3.972,3.532,3.624,3.74,4.216,2.134,6.867,5.483,3.74,5.646,3.005,4.957,3.418,1.603,3.092,3.047,3.061,14.013
436,Mannheim,Germany,2020,2.973,2.81,4.475,5.124,3.822,5.863,3.381,7.838,5.143,1.466,5.154,3.836,3.91,3.062,1.467,2.259,2.448,3.761,15.514
437,Groningen,Netherlands,2020,4.379,3.695,3.038,3.896,3.708,6.601,4.14,7.259,4.894,1.565,5.125,1.881,7.08,3.345,1.862,2.619,2.894,3.091,25.449
438,Hanover,Germany,2020,3.23,2.81,4.119,5.12,3.855,6.1,4.182,8.12,4.227,1.791,3.079,3.563,5.395,2.889,1.766,2.284,2.351,4.362,19.447
439,Malmo,Sweden,2020,4.173,4.069,3.189,3.539,3.528,5.827,3.3,6.606,4.732,1.142,5.08,4.784,4.171,3.233,1.99,2.849,2.778,3.327,18.465
440,Braga,Portugal,2020,6.058,5.937,2.195,2.425,4.018,5.657,2.065,7.5,5.414,2.029,5.896,3.32,5.338,2.404,1.184,2.093,1.442,1.965,25.823
441,Rotterdam,Netherlands,2020,5.45,5.23,2.445,2.751,3.904,6.252,3.732,7.919,4.383,2.144,5.552,3.176,5.783,3.227,2.817,2.456,2.718,3.382,28.723
442,Trieste,Italy,2020,3.625,4.394,3.67,3.275,4.034,3.786,2.661,6.631,3.227,3.342,5.924,4.609,5.333,2.742,1.037,2.892,3.291,2.03,14.15
443,Reykjavik,Iceland,2020,5.904,6.189,2.254,2.327,2.809,6.585,3.299,6.908,3.143,0.832,4.346,1.972,6.99,4.671,3.902,3.948,4.668,2.99,29.814
444,The Hague (Den Haag),Netherlands,2020,4.876,5.36,2.731,2.683,4.247,6.773,3.797,7.821,5.095,1.297,5.723,2.249,6.712,3.352,2.539,2.551,3.118,3.441,30.734
445,Brussels,Belgium,2020,4.738,4.581,2.81,3.141,4.394,5.237,3.831,7.659,5.63,3.446,5.296,4.469,4.487,3.35,2.292,2.821,3.149,3.471,20.322
446,Ostrava,Czech Republic,2020,5.518,4.142,2.412,3.476,4.328,5.665,3.089,7.288,4.075,1.964,4.761,2.183,6.542,1.992,0.847,1.729,1.161,2.486,26.776
447,Cork,Ireland,2020,6.881,6.928,1.935,2.077,3.985,6.185,3.283,5.902,5.301,1.265,5.671,2.858,6.101,3.56,3.05,2.905,3.161,2.975,30.747
448,Antwerp,Belgium,2020,4.824,4.776,2.76,3.017,4.671,5.608,3.609,8.251,5.687,3.313,5.396,3.099,5.86,3.287,1.908,2.603,3.065,3.271,24.323
449,Eindhoven,Netherlands,2020,4.876,5.344,2.731,2.692,4.459,6.966,4.16,7.437,3.981,1.212,5.393,2.245,6.716,3.418,2.563,2.642,3.042,3.77,31.857
